source,target,value
A41,Died,33
B34,Died,5
B97,Died,9
D64,Died,6
D69,Died,5
D72,Died,5
E03,Died,6
E11,Died,35
E11,Survived,5
E66,Died,6
E78,Died,17
E86,Died,9
E87,Died,93
E87,Survived,10
F03,Died,8
G93,Died,8
I10,Died,23
I12,Died,5
I25,Died,12
I46,Died,9
I48,Died,14
I50,Died,12
I95,Died,5
J12,Died,40
J12,Survived,7
J18,Died,21
J18,Survived,5
J44,Died,8
J80,Died,9
J96,Died,75
J96,Survived,10
N17,Died,44
N17,Survived,5
N18,Died,15
N39,Died,5
