plant_id,fips_raw,county_FIPS,coord_lat,coord_long,coords,plant_name,plant_state,census_region,NERC_region,prime_mover,reported_FTC,AER_FTC,AER_FTC_full,MMBTU_con_tot_YTD,MMBTU_con_elec_YTD,MWh_net_gen_elec_YTD
71,2150,02150,57.6861,-152.895,"57.6861,-152.895",Terror Lake Microgrid,AK,PACN,ASCC,HY,WAT,HYC,Hydroelectric Conventional,1111006,1111006,124762
72,6037,06037,34.01135,-118.4168,"34.01135,-118.4168",Venice Hydro,CA,PACC,WECC,HY,WAT,HYC,Hydroelectric Conventional,0,0,0
75,2020,02020,61.2221,-149.8661,"61.2221,-149.8661",Anchorage 1,AK,PACN,ASCC,GT,DFO,DFO,Distillate Petroleum,802,802,51.879
75,2020,02020,61.2221,-149.8661,"61.2221,-149.8661",Anchorage 1,AK,PACN,ASCC,GT,NG,NG,Natural Gas,226600,226600,14680.121
75,2020,02020,61.2221,-149.8661,"61.2221,-149.8661",Anchorage 1,AK,PACN,ASCC,IC,DFO,DFO,Distillate Petroleum,93,93,4.9
77,2170,02170,61.475211,-149.15009,"61.475211,-149.15009",Eklutna Hydro Project,AK,PACN,ASCC,HY,WAT,HYC,Hydroelectric Conventional,1700597,1700597,190971
78,2110,02110,58.1415,-133.737,"58.1415,-133.737",Snettisham,AK,PACN,ASCC,HY,WAT,HYC,Hydroelectric Conventional,2125694,2125694,238708
79,2090,02090,64.847743,-147.735063,"64.847743,-147.735063",Aurora Energy LLC Chena,AK,PACN,ASCC,ST,AB,ORW,Other Renewables ,0,0,0
79,2090,02090,64.847743,-147.735063,"64.847743,-147.735063",Aurora Energy LLC Chena,AK,PACN,ASCC,ST,DFO,DFO,Distillate Petroleum,0,0,0
79,2090,02090,64.847743,-147.735063,"64.847743,-147.735063",Aurora Energy LLC Chena,AK,PACN,ASCC,ST,SUB,COL,Coal ,3379997,2358044,186691
79,2090,02090,64.847743,-147.735063,"64.847743,-147.735063",Aurora Energy LLC Chena,AK,PACN,ASCC,ST,WDS,WWW,Wood and Wood Waste,0,0,0
84,2130,02130,55.344641,-131.633425,"55.344641,-131.633425",Ketchikan,AK,PACN,ASCC,HY,WAT,HYC,Hydroelectric Conventional,176454,176454,19815
85,2130,02130,55.357397,-131.69696,"55.357397,-131.69696",S W Bailey,AK,PACN,ASCC,IC,DFO,DFO,Distillate Petroleum,261020,261020,26855
